key_ID,village,interview_date,no_membrs,years_liv,respondent_wall_type,rooms,memb_assoc,affect_conflicts,liv_count,items_owned,no_meals,months_lack_food,instanceID
177,God,2016-11-25T00:00:00Z,10,13,sunbricks,1,no,more_once,2,motorcyle;television;cow_plough;solar_panel;mobile_phone,3,Nov,uuid:87998c33-c8d2-49ec-9dae-c123735957ec
181,God,2016-11-25T00:00:00Z,11,25,sunbricks,2,yes,more_once,3,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;mobile_phone,3,none,uuid:bf373763-dca5-4906-901b-d1bacb4f0286
182,God,2016-11-25T00:00:00Z,7,21,muddaub,3,no,more_once,2,solar_panel,3,Jan;Feb;Nov;Dec,uuid:394033e8-a6e2-4e39-bfac-458753a1ed78
186,God,2016-11-28T00:00:00Z,7,24,muddaub,1,no,more_once,2,cow_plough;mobile_phone,3,none,uuid:268bfd97-991c-473f-bd51-bc80676c65c6
187,God,2016-11-28T00:00:00Z,5,43,muddaub,2,yes,more_once,4,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;mobile_phone,3,none,uuid:0a42c9ee-a840-4dda-8123-15c1bede5dfc
195,God,2016-11-28T00:00:00Z,5,48,burntbricks,1,no,never,3,cow_cart;bicycle;radio;cow_plough;solar_torch,2,Sept;Oct;Nov,uuid:2c132929-9c8f-450a-81ff-367360ce2c19
196,God,2016-11-28T00:00:00Z,7,49,burntbricks,2,yes,more_once,3,radio;cow_plough;mobile_phone,3,none,uuid:44e427d1-a448-4bf2-b529-7d67b2266c06
197,God,2016-11-28T00:00:00Z,5,19,burntbricks,2,no,more_once,3,bicycle;television;radio;cow_plough;solar_torch;table;mobile_phone,2,Nov,uuid:85c99fd2-775f-40c9-8654-68223f59d091
198,God,2016-11-28T00:00:00Z,3,49,burntbricks,1,no,never,1,,3,Nov,uuid:28c64954-739c-444c-a6e0-355878e471c8
201,God,2016-11-21T00:00:00Z,4,6,muddaub,2,,,2,bicycle;radio;solar_torch;mobile_phone,2,Oct;Nov;Dec,uuid:9e79a31c-3ea5-44f0-80f9-a32db49422e3
202,God,2016-11-17T00:00:00Z,12,12,burntbricks,4,yes,more_once,3,cow_cart;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Jan;Feb;Mar;Oct;Nov;Dec,uuid:06d39051-38ef-4757-b68b-3327b1f16b9d
89,God,2017-04-27T00:00:00Z,5,10,burntbricks,2,no,never,3,bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Oct;Nov,uuid:b3b309c6-f234-4830-8b30-87d26a17ee1d
101,God,2017-04-27T00:00:00Z,3,4,muddaub,1,no,never,1,bicycle;solar_torch,3,Sept;Oct;Nov,uuid:3c174acd-e431-4523-9ad6-eb14cddca805
106,God,2017-04-30T00:00:00Z,15,22,sunbricks,5,no,never,2,cow_cart;motorcyle;bicycle;radio;sterio;cow_plough;solar_panel;solar_torch;table;mobile_phone,3,Oct;Nov;Dec,uuid:468797c1-4a65-4f35-9c83-e28ce46972a2
109,God,2017-05-03T00:00:00Z,4,12,sunbricks,1,,,3,cow_cart;bicycle;radio;cow_plough;table,3,July;Aug;Sept;Oct;Nov,uuid:602cd3f6-4a97-49c6-80e3-bcfd5c78dfa4
108,God,2017-05-11T00:00:00Z,15,22,burntbricks,2,no,never,4,cow_cart;bicycle;radio;cow_plough;solar_panel;table;mobile_phone,3,Aug;Sept;Oct;Nov,uuid:e4f4d6ba-e698-45a5-947f-ba6da88cc22b
159,God,2017-05-18T00:00:00Z,4,24,sunbricks,1,no,never,1,radio;solar_panel;solar_torch,3,Sept;Oct;Nov,uuid:37577f91-d665-443e-8d70-b914954cef4b
160,God,2017-06-03T00:00:00Z,7,13,burntbricks,2,yes,frequently,2,cow_cart;cow_plough;solar_torch;mobile_phone,2,Nov,uuid:f22831ec-6bc3-4b73-9197-4b01e01abb66
